listing_id,date,price_per
13751426,2017-07-30,NA
1179399,2016-11-30,23.3333333333333
9504314,2017-05-09,150
7916575,2017-02-27,75
3673688,2016-09-22,174.75
9860,2016-10-05,176
3344322,2016-12-24,30
2189086,2016-09-19,NA
6089865,2017-03-10,97.5
9541666,2017-03-22,NA
13711334,2017-07-31,45
9725178,2016-11-01,102.5
12379725,2016-10-24,NA
5970118,2017-02-26,75
1340290,2016-09-27,110
2633478,2017-08-12,53
4452800,2017-03-07,35
7678756,2016-11-11,NA
7244031,2017-08-09,NA
2723274,2017-06-24,NA
6672582,2017-06-12,NA
13491626,2016-11-12,NA
13004551,2016-11-30,NA
2776143,2017-04-21,46.6666666666667
13684319,2016-10-24,NA
28150,2016-12-10,125.5
6066455,2017-06-02,118.75
8275122,2017-08-08,NA
4977034,2017-04-08,100
8923817,2017-04-13,82.5
7614517,2016-10-23,NA
13491626,2017-07-21,NA
1937433,2017-05-29,NA
6356533,2016-09-23,85.8
4364989,2017-03-30,43.75
9040476,2016-11-29,65.8
11087657,2017-02-20,NA
9425902,2017-05-25,NA
13545648,2016-12-29,78.75
4493030,2016-11-10,NA
8326439,2017-03-03,48
2526773,2017-04-26,26
7841193,2016-12-12,NA
3309941,2016-11-08,79.8
13515084,2017-06-12,37.5
12291029,2017-08-04,NA
2884903,2017-05-09,35
13624476,2016-10-26,NA
14091605,2016-10-15,NA
12626504,2017-07-27,95
4489588,2017-02-06,124.5
9231486,2017-03-20,95.8333333333333
3021862,2017-03-28,45
14221294,2017-05-21,NA
10231714,2017-06-12,NA
1321422,2017-06-14,19.6666666666667
13724578,2017-02-12,NA
13121821,2017-02-16,49.75
5862806,2016-10-11,33.5
8168982,2016-10-20,91.4
14013663,2017-03-18,NA
6778788,2017-04-12,NA
13512459,2017-07-20,29.6666666666667
3917027,2016-11-18,27.3333333333333
12593655,2016-12-03,31
12657537,2017-04-26,67.5
13060113,2017-06-03,NA
13426831,2017-02-03,NA
11454728,2017-08-25,NA
11202183,2017-01-04,66.3333333333333
12290886,2016-12-28,NA
1147871,2017-05-28,47.5
7874552,2017-01-29,50
4861476,2016-10-07,40
13017162,2017-01-09,NA
217498,2017-03-15,44.5
9256035,2017-07-29,NA
2963419,2016-11-18,NA
12147973,2017-08-19,NA
7495866,2016-11-13,68
6009031,2017-07-31,NA
14767573,2016-10-28,75
14035936,2016-09-07,NA
14608495,2017-01-02,80
9731479,2016-11-19,68.75
9386847,2017-06-10,NA
6453686,2016-12-04,70
9407895,2016-11-10,NA
12069214,2017-06-07,73.3333333333333
182613,2017-08-14,NA
10051623,2017-09-04,NA
14573919,2017-04-29,40
3820516,2017-06-04,105
14420354,2017-08-24,89.8
3006311,2017-05-27,NA
4331214,2016-11-25,65
14351036,2017-01-26,NA
7860369,2017-04-15,112.5
1732804,2017-08-03,40
14510982,2017-01-11,60
12154934,2017-08-03,NA
6106955,2016-10-10,NA
7389719,2017-07-27,NA
6444148,2017-06-20,77.5
1174776,2017-04-10,185
6705513,2016-10-18,96
13433317,2016-10-03,NA
12971157,2017-03-12,NA
12154150,2017-03-19,NA
13056513,2017-01-04,33.75
4205641,2017-04-14,29.5
9953144,2017-08-31,58
14917151,2017-01-22,NA
12647606,2016-09-24,NA
3628320,2017-02-08,26
10945558,2016-11-05,49.8333333333333
2881388,2017-06-20,142.142857142857
4205641,2017-06-02,28
7637094,2017-05-15,NA
12033661,2017-01-14,NA
13605430,2017-01-22,NA
2114274,2017-03-17,46.5
6543678,2017-05-03,NA
8700820,2017-08-30,51
9013631,2017-03-06,20
7508865,2017-07-30,NA
4820071,2016-10-03,NA
6214710,2017-07-26,175
7931882,2017-04-14,NA
11983286,2016-10-07,NA
2658094,2016-10-25,49.8333333333333
1340290,2016-11-27,110
4916260,2017-03-31,NA
12587887,2017-07-06,NA
8319253,2017-01-12,50
1115394,2016-09-11,NA
7920759,2016-10-24,NA
2754149,2016-09-18,NA
11397952,2016-11-30,NA
2277821,2016-10-02,110
2515870,2017-02-06,NA
9896359,2017-02-13,97.5
9094794,2016-09-13,NA
5709298,2016-12-30,49.75
11410652,2017-01-07,NA
8469735,2017-07-02,50
13275334,2017-07-02,NA
12306135,2017-04-14,NA
11067772,2016-11-05,31.75
7308623,2017-03-16,NA
11120777,2017-03-28,44.375
8563141,2016-11-04,NA
10724635,2016-12-03,NA
6465075,2017-05-09,38.3
5191658,2017-07-02,125
743211,2017-06-14,61.1111111111111
13640138,2017-07-17,NA
1203014,2017-04-15,32.5
13140867,2017-07-22,NA
9494511,2017-05-06,29.5
10327517,2016-09-29,NA
4560053,2016-09-11,NA
14646704,2017-01-14,NA
13863190,2017-07-28,NA
6763587,2017-03-26,65
5884210,2016-11-16,NA
5932402,2017-01-02,NA
8325030,2017-04-23,NA
14855404,2016-12-06,45
8720673,2017-03-13,47.5
4461846,2016-10-09,NA
7840797,2016-10-02,NA
4635390,2016-12-23,NA
10426124,2017-08-09,NA
395975,2016-11-06,25.6666666666667
